单词,解释
upaide down,颠倒，乱七八糟
fracture,骨折，使断裂
martyr,烈士，折磨
constituent,成分，选民
engagement,约定，婚约，交战
stricken,受灾的
inaugurate,举行典礼（就职，落成），开始
venerable,令人崇敬的，神圣庄严的
barren,荒芜的，贫瘠的，空的，无用的，不孕的
temporal,世俗的，时间的，太阳穴
speculate,推测，投机
conspicuous,引人注意的，注意到缺席
formidable,可怕的，令人惊叹的
cynical,愤世嫉俗的，悲观的
convict,定罪，囚犯
unsettle,使不安
embody,具现，包含
frontier,边界，前沿
tribunal,特别法庭
allege,不能保证的断言
midwife,接生婆
scarcity,缺乏，不足
mediate,调解，影响
facilitate,促进
disgust,厌恶
liaison,联系，通奸
nominee,提名人，候选人
flush,脸红，冲洗，激增
embark,着手开始，登船，登机
retrieval,取回，恢复
alternative,可供选择的，备用的
virtuous,有德行的，自命不凡的
polytechnic,理工院校
appeal,吸引，吸引力，恳请，上诉
culminate,结束，到达高潮
