单词,解释
reshuffle,改组、调整
impart,告知，给予
punctual,准时的
respondent,回答者，被告
flatter,奉承，自以为是，使显得好看
maternity,孕妇的，母亲身份
outpost,贸易站，前哨基地
shaky,不稳固的，颤抖的
cordial,无酒精甜果汁，烈性甜酒，友好的
criterion,判断准则
simplistic,过于简单化的
sideline,兼职，排除在外，不重视，外围
standby,备用
substantive,本质的
subsistence,勉强维持生活，生计
standoff,僵持，僵局
planetary,行星的
stipulate,要求必须要做，规定
baffle,困惑，阻碍
fling,用力抛，猛冲，使摔倒，投身于
symmetrical,对称的
deposit,保证金，押金，存款，放下，寄存，使沉积
solemn,庄严的，郑重的
solemnity,庄严
fluctuate,使波动
petrochemical,石油化学产品
petrol,汽油
petroleum,石油
impair,损害，削弱
petition,申请，在法院的伸张，请愿书
petitioner,申请人
outgoing,往外去的，快要卸任的，喜欢交际的
voucher,代金券，保证人
behalf,代表，为某人生气或尴尬
enclose,围住，附上
implicit,含蓄的，隐含的，绝对信念的
onset,不好的开端
impose,强制接受，强加想法，强迫做事，征税，罚款
tactful,有分寸的，考虑周全的
contention,争论，观点
